linux_yum_dnf
=============
::

    Last metadata expiration check: 0:00:01 ago on Mon Dec 28 12:56:38 2020.
    Available Packages
    intel-aikit.x86_64                                                                 2021.1.0-935  oneAPI
    intel-aikit-2021.1.0.x86_64                                                        2021.1.0-935  oneAPI
    intel-aikit-32bit.i686                                                             2021.1.0-935  oneAPI
    intel-aikit-32bit-2021.1.0.i686                                                    2021.1.0-935  oneAPI
    intel-aikit-getting-started.noarch                                                 2021.1.0-935  oneAPI
    intel-aikit-runtime.x86_64                                                         2021.1.0-935  oneAPI
    intel-aikit-runtime-2021.1.0.x86_64                                                2021.1.0-935  oneAPI
    intel-aikit-runtime-32bit.i686                                                     2021.1.0-935  oneAPI
    intel-aikit-runtime-32bit-2021.1.0.i686                                            2021.1.0-935  oneAPI
    intel-basekit.x86_64                                                               2021.1.0-2659 oneAPI
    intel-basekit-2021.1.0.x86_64                                                      2021.1.0-2659 oneAPI
    intel-basekit-32bit.i686                                                           2021.1.0-2659 oneAPI
    intel-basekit-32bit-2021.1.0.i686                                                  2021.1.0-2659 oneAPI
    intel-basekit-getting-started.noarch                                               2021.1.0-2659 oneAPI
    intel-basekit-runtime.x86_64                                                       2021.1.0-2659 oneAPI
    intel-basekit-runtime-2021.1.0.x86_64                                              2021.1.0-2659 oneAPI
    intel-basekit-runtime-32bit.i686                                                   2021.1.0-2659 oneAPI
    intel-basekit-runtime-32bit-2021.1.0.i686                                          2021.1.0-2659 oneAPI
    intel-dlfdkit.x86_64                                                               2021.1.0-1920 oneAPI
    intel-dlfdkit-2021.1.0.x86_64                                                      2021.1.0-1920 oneAPI
    intel-dlfdkit-32bit.i686                                                           2021.1.0-1920 oneAPI
    intel-dlfdkit-32bit-2021.1.0.i686                                                  2021.1.0-1920 oneAPI
    intel-dlfdkit-getting-started.noarch                                               2021.1.0-1920 oneAPI
    intel-dlfdkit-runtime.x86_64                                                       2021.1.0-1920 oneAPI
    intel-dlfdkit-runtime-2021.1.0.x86_64                                              2021.1.0-1920 oneAPI
    intel-dlfdkit-runtime-32bit.i686                                                   2021.1.0-1920 oneAPI
    intel-dlfdkit-runtime-32bit-2021.1.0.i686                                          2021.1.0-1920 oneAPI
    intel-hpckit.x86_64                                                                2021.1.0-2684 oneAPI
    intel-hpckit-2021.1.0.x86_64                                                       2021.1.0-2684 oneAPI
    intel-hpckit-32bit.i686                                                            2021.1.0-2684 oneAPI
    intel-hpckit-32bit-2021.1.0.i686                                                   2021.1.0-2684 oneAPI
    intel-hpckit-getting-started.noarch                                                2021.1.0-2684 oneAPI
    intel-hpckit-runtime.x86_64                                                        2021.1.0-2684 oneAPI
    intel-hpckit-runtime-2021.1.0.x86_64                                               2021.1.0-2684 oneAPI
    intel-hpckit-runtime-32bit.i686                                                    2021.1.0-2684 oneAPI
    intel-hpckit-runtime-32bit-2021.1.0.i686                                           2021.1.0-2684 oneAPI
    intel-iotkit.x86_64                                                                2021.1.0-2658 oneAPI
    intel-iotkit-2021.1.0.x86_64                                                       2021.1.0-2658 oneAPI
    intel-iotkit-32bit.i686                                                            2021.1.0-2658 oneAPI
    intel-iotkit-32bit-2021.1.0.i686                                                   2021.1.0-2658 oneAPI
    intel-iotkit-getting-started.noarch                                                2021.1.0-2658 oneAPI
    intel-iotkit-runtime.x86_64                                                        2021.1.0-2658 oneAPI
    intel-iotkit-runtime-2021.1.0.x86_64                                               2021.1.0-2658 oneAPI
    intel-iotkit-runtime-32bit.i686                                                    2021.1.0-2658 oneAPI
    intel-iotkit-runtime-32bit-2021.1.0.i686                                           2021.1.0-2658 oneAPI
    intel-oneapi-advisor.x86_64                                                        2021.1.1-43   oneAPI
    intel-oneapi-ccl.x86_64                                                            2021.1.1-54   oneAPI
    intel-oneapi-ccl-2021.1.1.x86_64                                                   2021.1.1-54   oneAPI
    intel-oneapi-ccl-devel.x86_64                                                      2021.1.1-54   oneAPI
    intel-oneapi-ccl-devel-2021.1.1.x86_64                                             2021.1.1-54   oneAPI
    intel-oneapi-clck.x86_64                                                           2021.1.1-68   oneAPI
    intel-oneapi-clck-2021.1.1.x86_64                                                  2021.1.1-68   oneAPI
    intel-oneapi-common-licensing.noarch                                               2021.1.1-60   oneAPI
    intel-oneapi-common-licensing-2021.1.1.noarch                                      2021.1.1-60   oneAPI
    intel-oneapi-common-vars.noarch                                                    2021.1.1-60   oneAPI
    intel-oneapi-compiler-cpp-eclipse-cfg.noarch                                       2021.1.2-266  oneAPI
    intel-oneapi-compiler-dpcpp-cpp.x86_64                                             2021.1.2-266  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-2021.1.1.x86_64                                    2021.1.1-189  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-2021.1.2.x86_64                                    2021.1.2-266  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-and-cpp-classic.x86_64                             2021.1.2-266  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-and-cpp-classic-2021.1.1.x86_64                    2021.1.1-189  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-and-cpp-classic-2021.1.2.x86_64                    2021.1.2-266  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-and-cpp-classic-32bit.x86_64                       2021.1.2-266  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-and-cpp-classic-32bit-2021.1.1.x86_64              2021.1.1-189  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-and-cpp-classic-32bit-2021.1.2.x86_64              2021.1.2-266  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-and-cpp-classic-common-2021.1.1.noarch             2021.1.1-189  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-and-cpp-classic-common-2021.1.2.noarch             2021.1.2-266  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-and-cpp-classic-runtime-2021.1.1.x86_64            2021.1.1-189  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-and-cpp-classic-runtime-2021.1.2.x86_64            2021.1.2-266  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-and-cpp-classic-runtime-32bit.i686                 2021.1.2-266  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-and-cpp-classic-runtime-32bit-2021.1.1.i686        2021.1.1-189  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-and-cpp-classic-runtime-32bit-2021.1.2.i686        2021.1.2-266  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-classic-fortran-shared-runtime-2021.1.1.x86_64     2021.1.1-189  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-classic-fortran-shared-runtime-2021.1.2.x86_64     2021.1.2-266  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-classic-fortran-shared-runtime-32bit-2021.1.1.i686 2021.1.1-189  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-classic-fortran-shared-runtime-32bit-2021.1.2.i686 2021.1.2-266  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-common-2021.1.1.noarch                             2021.1.1-189  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-common-2021.1.2.noarch                             2021.1.2-266  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-runtime.x86_64                                     2021.1.2-266  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-runtime-2021.1.1.x86_64                            2021.1.1-189  oneAPI
    intel-oneapi-compiler-dpcpp-cpp-runtime-2021.1.2.x86_64                            2021.1.2-266  oneAPI
    intel-oneapi-compiler-dpcpp-eclipse-cfg.noarch                                     2021.1.2-266  oneAPI
    intel-oneapi-compiler-fortran.x86_64                                               2021.1.2-266  oneAPI
    intel-oneapi-compiler-fortran-2021.1.1.x86_64                                      2021.1.1-189  oneAPI
    intel-oneapi-compiler-fortran-2021.1.2.x86_64                                      2021.1.2-266  oneAPI
    intel-oneapi-compiler-fortran-32bit.x86_64                                         2021.1.2-266  oneAPI
